Mod:Item:MetaData, Localized Name
minecraft:air, Air
minecraft:stone:0, Roche
minecraft:stone:1, Granite
minecraft:stone:2, Granite poli
minecraft:stone:3, Diorite
minecraft:stone:4, Diorite polie
minecraft:stone:5, Andésite
minecraft:stone:6, Andésite polie
minecraft:grass, Bloc d'herbe
minecraft:dirt:0, Terre
minecraft:dirt:1, Terre stérile
minecraft:dirt:2, Podzol
minecraft:cobblestone, Pierres
minecraft:planks:0, Planches de chêne
minecraft:planks:1, Planches de sapin
minecraft:planks:2, Planches de bouleau
minecraft:planks:3, Planches d'acajou
minecraft:planks:4, Planches d'acacia
minecraft:planks:5, Planches de chêne noir
minecraft:sapling:0, Pousse de chêne
minecraft:sapling:1, Pousse de sapin
minecraft:sapling:2, Pousse de bouleau
minecraft:sapling:3, Pousse d'acajou
minecraft:sapling:4, Pousse d'acacia
minecraft:sapling:5, Pousse de chêne noir
minecraft:bedrock, Bedrock
minecraft:sand:0, Sable
minecraft:sand:1, Sable rouge
minecraft:gravel, Gravier
minecraft:gold_ore, Minerai d'or
minecraft:iron_ore, Minerai de fer
minecraft:coal_ore, Minerai de charbon
minecraft:log:0, Bois de chêne
minecraft:log:1, Bois de sapin
minecraft:log:2, Bois de bouleau
minecraft:log:3, Bois d'acajou
minecraft:leaves:0, Feuilles de chêne
minecraft:leaves:1, Feuilles de sapin
minecraft:leaves:2, Feuilles de bouleau
minecraft:leaves:3, Feuilles d'acajou
minecraft:sponge:0, Éponge
minecraft:sponge:1, Éponge mouillée
minecraft:glass, Verre
minecraft:lapis_ore, Minerai de lapis-lazuli
minecraft:lapis_block, Bloc de lapis-lazuli
minecraft:dispenser, Distributeur
minecraft:sandstone:0, Grès
minecraft:sandstone:1, Grès sculpté
minecraft:sandstone:2, Grès poli
minecraft:noteblock, Bloc musical
minecraft:golden_rail, Rails de propulsion
minecraft:detector_rail, Rails détecteurs
minecraft:sticky_piston, Piston collant
minecraft:web, Toile d'araignée
minecraft:tallgrass:1, Herbe
minecraft:tallgrass:2, Fougère
minecraft:deadbush, Arbuste mort
minecraft:piston, Piston
minecraft:wool:0, Laine blanche
minecraft:wool:1, Laine orange
minecraft:wool:2, Laine magenta
minecraft:wool:3, Laine bleu clair
minecraft:wool:4, Laine jaune
minecraft:wool:5, Laine vert clair
minecraft:wool:6, Laine rose
minecraft:wool:7, Laine grise
minecraft:wool:8, Laine gris clair
minecraft:wool:9, Laine cyan
minecraft:wool:10, Laine violette
minecraft:wool:11, Laine bleue
minecraft:wool:12, Laine marron
minecraft:wool:13, Laine verte
minecraft:wool:14, Laine rouge
minecraft:wool:15, Laine noire
minecraft:yellow_flower:0, Pissenlit
minecraft:red_flower:0, Coquelicot
minecraft:red_flower:1, Orchidée bleue
minecraft:red_flower:2, Allium
minecraft:red_flower:3, Houstonie bleue
minecraft:red_flower:4, Tulipe rouge
minecraft:red_flower:5, Tulipe orange
minecraft:red_flower:6, Tulipe blanche
minecraft:red_flower:7, Tulipe rose
minecraft:red_flower:8, Marguerite
minecraft:brown_mushroom, Champignon
minecraft:red_mushroom, Champignon
minecraft:gold_block, Bloc d'or
minecraft:iron_block, Bloc de fer
minecraft:stone_slab:0, Dalle en pierre
minecraft:stone_slab:1, Dalle en grès
minecraft:stone_slab:3, Dalle de pierres
minecraft:stone_slab:4, Dalle en briques
minecraft:stone_slab:5, Dalle en pierre taillée
minecraft:stone_slab:6, Dalle en briques du Nether
minecraft:stone_slab:7, Dalle de quartz
minecraft:brick_block, Briques
minecraft:tnt, TNT
minecraft:bookshelf, Bibliothèque en bois de chêne
minecraft:mossy_cobblestone, Pierres moussues
minecraft:obsidian, Obsidienne
minecraft:torch, Torche
minecraft:mob_spawner, Générateur de monstres
minecraft:oak_stairs, Escaliers en bois de chêne
minecraft:chest, Coffre en bois de chêne
minecraft:diamond_ore, Minerai de diamant
minecraft:diamond_block, Bloc de diamant
minecraft:crafting_table, Établi
minecraft:farmland, Terre labourée
minecraft:furnace, Fourneau
minecraft:ladder, Échelle
minecraft:rail, Rails
minecraft:stone_stairs, Escalier en pierre
minecraft:lever, Levier
minecraft:stone_pressure_plate, Plaque de pression en pierre
minecraft:wooden_pressure_plate, Plaque de pression en bois de chêne
minecraft:redstone_ore, Minerai de redstone
minecraft:redstone_torch, Torche de redstone
minecraft:stone_button, Bouton
minecraft:snow_layer, Neige
minecraft:ice, Glace
minecraft:snow, Neige
minecraft:cactus, Cactus
minecraft:clay, Argile
minecraft:jukebox, Jukebox
minecraft:fence, Barrière en bois de chêne
minecraft:pumpkin, Citrouille
minecraft:netherrack, Netherrack
minecraft:soul_sand, Sable des âmes
minecraft:glowstone, Pierre lumineuse
minecraft:lit_pumpkin, Citrouille-lanterne
minecraft:stained_glass:0, Verre blanc
minecraft:stained_glass:1, Verre orange
minecraft:stained_glass:2, Verre magenta
minecraft:stained_glass:3, Verre bleu clair
minecraft:stained_glass:4, Verre jaune
minecraft:stained_glass:5, Verre vert clair
minecraft:stained_glass:6, Verre rose
minecraft:stained_glass:7, Verre gris
minecraft:stained_glass:8, Verre gris clair
minecraft:stained_glass:9, Verre cyan
minecraft:stained_glass:10, Verre violet
minecraft:stained_glass:11, Verre bleu
minecraft:stained_glass:12, Verre marron
minecraft:stained_glass:13, Verre vert
minecraft:stained_glass:14, Verre rouge
minecraft:stained_glass:15, Verre noir
minecraft:trapdoor, Trappe en bois
minecraft:monster_egg:0, Roche infestée
minecraft:monster_egg:1, Pierre infestée
minecraft:monster_egg:2, Pierre taillée infestée
minecraft:monster_egg:3, Pierre taillée moussue infestée
minecraft:monster_egg:4, Pierre taillée craquelée infestée
minecraft:monster_egg:5, Pierre sculptée infestée
minecraft:stonebrick:0, Pierre taillée
minecraft:stonebrick:1, Pierre taillée moussue
minecraft:stonebrick:2, Pierre taillée craquelée
minecraft:stonebrick:3, Pierre sculptée
minecraft:brown_mushroom_block, Champignon
minecraft:red_mushroom_block, Champignon
minecraft:iron_bars, Barreaux de fer
minecraft:glass_pane, Vitre
minecraft:melon_block, Pastèque
minecraft:vine, Lianes
minecraft:fence_gate, Portillon en bois de chêne
minecraft:brick_stairs, Escalier en briques
minecraft:stone_brick_stairs, Escaliers en pierre taillée
minecraft:mycelium, Mycélium
minecraft:waterlily, Nénuphar
minecraft:nether_brick, Briques du Nether
minecraft:nether_brick_fence, Barrière en briques du Nether
minecraft:nether_brick_stairs, Escaliers en briques du Nether
minecraft:enchanting_table, Table d'enchantement
minecraft:end_portal_frame, Portail de l'End
minecraft:end_stone, Pierre de l'End
minecraft:dragon_egg, Oeuf de dragon
minecraft:redstone_lamp, Lampe à redstone
minecraft:wooden_slab:0, Dalle en bois de chêne
minecraft:wooden_slab:1, Dalle en bois de sapin
minecraft:wooden_slab:2, Dalle en bois de bouleau
minecraft:wooden_slab:3, Dalle en bois d'acajou
minecraft:wooden_slab:4, Dalle en bois d'acacia
minecraft:wooden_slab:5, Dalle en bois de chêne noir
minecraft:sandstone_stairs, Escalier en grès
minecraft:emerald_ore, Minerai d'émeraude
minecraft:ender_chest, Coffre de l'Ender
minecraft:tripwire_hook, Crochet
minecraft:emerald_block, Bloc d'émeraude
minecraft:spruce_stairs, Escaliers en bois de sapin
minecraft:birch_stairs, Escaliers en bois de bouleau
minecraft:jungle_stairs, Escaliers en bois d'acajou
minecraft:command_block, Bloc de commande
minecraft:beacon, Balise de repérage
minecraft:cobblestone_wall:0, Muret de pierres
minecraft:cobblestone_wall:1, Muret de pierres moussues
minecraft:wooden_button, Bouton en bois de chêne
minecraft:anvil:0, Enclume
minecraft:anvil:1, Enclume légèrement endommagée
minecraft:anvil:2, Enclume très endommagée
minecraft:trapped_chest, Coffre piégé en bois de chêne
minecraft:light_weighted_pressure_plate, Plaque de pression pondérée (léger)
minecraft:heavy_weighted_pressure_plate, Plaque de pression pondérée (lourd)
minecraft:daylight_detector, Capteur de lumière du jour
minecraft:redstone_block, Bloc de redstone
minecraft:quartz_ore, Minerai de quartz du Nether
minecraft:hopper, Entonnoir
minecraft:quartz_block:0, Bloc de quartz
minecraft:quartz_block:1, Bloc de quartz sculpté
minecraft:quartz_block:2, Bloc de quartz rayé
minecraft:quartz_stairs, Escalier en quartz
minecraft:activator_rail, Rails déclencheurs
minecraft:dropper, Dropper
minecraft:stained_hardened_clay:0, Terre cuite blanche
minecraft:stained_hardened_clay:1, Terre cuite orange
minecraft:stained_hardened_clay:2, Terre cuite magenta
minecraft:stained_hardened_clay:3, Terre cuite bleu clair
minecraft:stained_hardened_clay:4, Terre cuite jaune
minecraft:stained_hardened_clay:5, Terre cuite vert clair
minecraft:stained_hardened_clay:6, Terre cuite rose
minecraft:stained_hardened_clay:7, Terre cuite grise
minecraft:stained_hardened_clay:8, Terre cuite gris clair
minecraft:stained_hardened_clay:9, Terre cuite cyan
minecraft:stained_hardened_clay:10, Terre cuite violette
minecraft:stained_hardened_clay:11, Terre cuite bleue
minecraft:stained_hardened_clay:12, Terre cuite marron
minecraft:stained_hardened_clay:13, Terre cuite verte
minecraft:stained_hardened_clay:14, Terre cuite rouge
minecraft:stained_hardened_clay:15, Terre cuite noire
minecraft:stained_glass_pane:0, Vitre blanche
minecraft:stained_glass_pane:1, Vitre orange
minecraft:stained_glass_pane:2, Vitre magenta
minecraft:stained_glass_pane:3, Vitre bleu clair
minecraft:stained_glass_pane:4, Vitre jaune
minecraft:stained_glass_pane:5, Vitre vert clair
minecraft:stained_glass_pane:6, Vitre rose
minecraft:stained_glass_pane:7, Vitre grise
minecraft:stained_glass_pane:8, Vitre gris clair
minecraft:stained_glass_pane:9, Vitre cyan
minecraft:stained_glass_pane:10, Vitre violette
minecraft:stained_glass_pane:11, Vitre bleue
minecraft:stained_glass_pane:12, Vitre marron
minecraft:stained_glass_pane:13, Vitre verte
minecraft:stained_glass_pane:14, Vitre rouge
minecraft:stained_glass_pane:15, Vitre noire
minecraft:leaves2:0, Feuilles d'acacia
minecraft:leaves2:1, Feuilles de chêne noir
minecraft:log2:0, Bois d'acacia
minecraft:log2:1, Bois de chêne noir
minecraft:acacia_stairs, Escaliers en bois d'acacia
minecraft:dark_oak_stairs, Escaliers en bois de chêne noir
minecraft:slime, Green Slime Block
minecraft:barrier, Aura de défense
minecraft:iron_trapdoor, Trappe en fer
minecraft:prismarine:0, Prismarine
minecraft:prismarine:1, Prismarine taillée
minecraft:prismarine:2, Prismarine sombre
minecraft:sea_lantern, Lanterne aquatique
minecraft:hay_block, Bloc de paille
minecraft:carpet:0, Tapis blanc
minecraft:carpet:1, Tapis orange
minecraft:carpet:2, Tapis magenta
minecraft:carpet:3, Tapis bleu clair
minecraft:carpet:4, Tapis jaune
minecraft:carpet:5, Tapis vert clair
minecraft:carpet:6, Tapis rose
minecraft:carpet:7, Tapis gris
minecraft:carpet:8, Tapis gris clair
minecraft:carpet:9, Tapis cyan
minecraft:carpet:10, Tapis violet
minecraft:carpet:11, Tapis bleu
minecraft:carpet:12, Tapis marron
minecraft:carpet:13, Tapis vert
minecraft:carpet:14, Tapis rouge
minecraft:carpet:15, Tapis noir
minecraft:hardened_clay, Terre cuite
minecraft:coal_block, Bloc de charbon
minecraft:packed_ice, Glace compactée
minecraft:double_plant:0, Tournesol
minecraft:double_plant:1, Lilas
minecraft:double_plant:2, Très hautes herbes
minecraft:double_plant:3, Grande fougère
minecraft:double_plant:4, Rosier
minecraft:double_plant:5, Pivoine
minecraft:red_sandstone:0, Grès rouge
minecraft:red_sandstone:1, Grès rouge sculpté
minecraft:red_sandstone:2, Grès rouge poli
minecraft:red_sandstone_stairs, Escaliers en grès rouge
minecraft:stone_slab2:0, Dalle en grès rouge
minecraft:spruce_fence_gate, Portillon en bois de sapin
minecraft:birch_fence_gate, Portillon en bois de bouleau
minecraft:jungle_fence_gate, Portillon en bois d'acajou
minecraft:dark_oak_fence_gate, Portillon en bois de chêne noir
minecraft:acacia_fence_gate, Portillon en bois d'acacia
minecraft:spruce_fence, Barrière en bois de sapin
minecraft:birch_fence, Barrière en bois de bouleau
minecraft:jungle_fence, Barrière en bois d'acajou
minecraft:dark_oak_fence, Barrière en bois de chêne noir
minecraft:acacia_fence, Barrière en bois d'acacia
minecraft:end_rod, Barre de l'End
minecraft:chorus_plant, Plante de chorus
minecraft:chorus_flower, Fleur de chorus
minecraft:purpur_block, Bloc de purpur
minecraft:purpur_pillar, Bloc de purpur sculpté
minecraft:purpur_stairs, Escaliers de purpur
minecraft:purpur_slab:0, Dalle de purpur
minecraft:end_bricks, Briques de l'End
minecraft:grass_path, Chemin d'herbe
minecraft:repeating_command_block, Bloc de commande à répétition
minecraft:chain_command_block, Bloc de commande en chaîne
minecraft:magma, Bloc de magma
minecraft:nether_wart_block, Bloc de verrues du Nether
minecraft:red_nether_brick, Briques rouges du Nether
minecraft:bone_block, Bloc d'os
minecraft:structure_void, Vide de structure
minecraft:observer, Observateur
minecraft:white_shulker_box, Boîte de Shulker blanche
minecraft:orange_shulker_box, Boîte de Shulker orange
minecraft:magenta_shulker_box, Boîte de Shulker magenta
minecraft:light_blue_shulker_box, Boîte de Shulker bleu clair
minecraft:yellow_shulker_box, Boîte de Shulker jaune
minecraft:lime_shulker_box, Boîte de Shulker vert clair
minecraft:pink_shulker_box, Boîte de Shulker rose
